zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
2,amazonia,Orellana,161338,39,9,2021,675903,0,1240763,13683,551177
8,costa,Guayas,4387434,52,12,2021,22879290,1191824,44201286,645053,19485119
4,costa,Sto. Domingo Tsáchilas,511151,4,1,2022,2625491,239953,5365728,237064,2263220
3,sierra,Chimborazo,524004,42,10,2021,2256669,0,4172640,78266,1837705
5,costa,Santa Elena,401178,28,7,2021,523401,0,709331,0,185930
1,costa,Esmeraldas,591083,47,11,2021,2809625,24455,5000607,155418,2011109
2,amazonia,Orellana,161338,6,2,2021,300,0,300,0,0
7,sierra,Loja,521154,33,8,2021,2484666,0,3594461,0,1109795
8,costa,Guayas,4387434,24,6,2021,3218212,0,4751451,0,1533239
5,costa,Los Ríos,921763,20,5,2021,391631,0,464228,0,72597
3,sierra,Tungurahua,590600,4,1,2022,3349259,647115,7337228,221133,3119721
7,sierra,Loja,521154,5,1,2022,2613877,563144,5689942,42051,2470870
3,sierra,Tungurahua,590600,19,5,2021,313563,0,367594,0,54031
8,costa,Guayas,4387434,6,1,2021,1532,0,1532,0,0
7,sierra,Loja,521154,10,3,2021,14387,0,15281,0,894
4,costa,Manabí,1562079,27,6,2021,1183260,0,1575143,0,391883
3,sierra,Tungurahua,590600,24,6,2021,601307,0,833732,0,232425
3,sierra,Cotopaxi,488716,14,3,2021,25832,0,33352,0,7520
3,sierra,Tungurahua,590600,36,9,2021,1475002,0,2817939,62046,1280891
8,costa,Guayas,4387434,5,1,2022,20484821,2465537,41435602,605576,17879668
3,sierra,Chimborazo,524004,39,9,2021,2197743,0,4065960,70208,1798009
3,sierra,Bolívar,209933,52,12,2021,1188146,112115,2297691,47004,950426
9,sierra,Pichincha,3228233,26,6,2021,4793366,0,6965138,0,2171772
5,costa,Santa Elena,401178,45,11,2021,1501810,1275,2713558,41112,1169361
2,amazonia,Orellana,161338,10,3,2021,5104,0,5278,0,174
3,sierra,Cotopaxi,488716,7,2,2021,1680,0,1680,0,0
