zona,region,provincia,poblacion,mes,anio,dosis_total,dosis_refuerzo,primera_dosis,dosis_unica,segunda_dosis
5,costa,Santa Elena,401178,1,2022,16523602,739252,8530094,278396,6975860
2,amazonia,Pastaza,114202,6,2021,577107,0,435356,0,141751
8,costa,Guayas,4387434,2,2021,206988,0,190906,0,16082
3,sierra,Cotopaxi,488716,4,2021,563791,0,478730,0,85061
6,sierra,Azuay,881394,8,2021,28163904,0,17755283,32166,10376455
9,sierra,Pichincha,3228233,1,2022,170324812,15336089,78122864,1659499,75206360
2,amazonia,Pastaza,114202,2,2021,6551,0,6153,0,398
3,sierra,Cotopaxi,488716,5,2021,1754348,0,1465301,0,289047
9,sierra,Pichincha,3228233,8,2021,108610292,0,69221808,115406,39273078
2,amazonia,Napo,133705,5,2021,730659,0,606245,0,124414
5,costa,Santa Elena,401178,7,2021,5304554,0,4276884,0,1027670
1,sierra,Imbabura,476257,4,2021,862273,0,736568,0,125705
5,costa,Los Ríos,921763,4,2021,909416,0,749762,0,159654
1,costa,Esmeraldas,591083,2,2021,23985,0,22854,0,1131
8,costa,Guayas,4387434,4,2021,5285938,0,4334259,0,951679
4,costa,Manabí,1562079,3,2021,538428,0,461106,0,77322
7,costa,El Oro,715751,6,2021,4544601,0,3313082,0,1231519
9,sierra,Pichincha,3228233,3,2021,2003163,0,1776087,0,227076
6,amazonia,Morona Santiago,196535,12,2021,6520424,221163,3295869,308199,2695193
2,amazonia,Orellana,161338,10,2021,5766184,307,3164404,99349,2502124
6,amazonia,Morona Santiago,196535,11,2021,5381032,63377,2873096,249388,2195171
5,insular,Galápagos,33042,12,2021,2049198,252405,920377,0,876416
6,amazonia,Morona Santiago,196535,7,2021,2010791,0,1491810,0,518981
6,sierra,Cañar,281396,6,2021,1723062,0,1194316,0,528746
3,sierra,Tungurahua,590600,1,2021,393,0,393,0,0
2,amazonia,Sucumbíos,230503,11,2021,8175107,64190,4511074,212723,3387120
6,sierra,Azuay,881394,6,2021,7963826,0,5407824,0,2556002
2,amazonia,Orellana,161338,2,2021,3236,0,3120,0,116
6,sierra,Azuay,881394,10,2021,34937964,38402,18374692,407790,16117080
7,amazonia,Zamora Chinchipe,120416,11,2021,4386014,33531,2465186,62051,1825246
6,sierra,Cañar,281396,4,2021,422285,0,334737,0,87548
5,costa,Los Ríos,921763,12,2021,37169048,697816,20074262,796923,15600047
1,costa,Esmeraldas,591083,7,2021,7423102,0,6099451,0,1323651
5,insular,Galápagos,33042,11,2021,1703975,29930,878791,0,795254
2,amazonia,Orellana,161338,9,2021,5243917,0,2875951,56742,2311224
2,amazonia,Pastaza,114202,12,2021,4414230,142362,2237387,173660,1860821
5,costa,Santa Elena,401178,9,2021,12245811,0,6511017,177600,5557194
6,sierra,Cañar,281396,8,2021,6607657,0,4253123,14867,2339667
3,sierra,Chimborazo,524004,10,2021,18778611,12402,10243253,347083,8175873
3,sierra,Cotopaxi,488716,7,2021,7351869,0,5664848,0,1687021
1,sierra,Imbabura,476257,1,2022,23508418,1652934,10925890,468945,10460649
2,amazonia,Sucumbíos,230503,5,2021,810659,0,655996,0,154663
5,costa,Los Ríos,921763,7,2021,10909855,0,8592084,0,2317771
1,costa,Esmeraldas,591083,10,2021,19907810,1737,10731042,602159,8572872
4,costa,Sto. Domingo Tsáchilas,511151,9,2021,15208286,0,7729957,721027,6757302
3,sierra,Cotopaxi,488716,6,2021,3170939,0,2206049,0,964890
3,sierra,Chimborazo,524004,6,2021,4003217,0,2801595,0,1201622
7,sierra,Loja,521154,4,2021,1394994,0,1163286,0,231708
4,costa,Manabí,1562079,12,2021,76113321,1486437,39538484,1519678,33568722
3,sierra,Bolívar,209933,4,2021,399077,0,326981,0,72096
4,costa,Manabí,1562079,4,2021,1998497,0,1706432,0,292065
3,sierra,Tungurahua,590600,12,2021,29104941,958002,14566841,857420,12722678
7,costa,El Oro,715751,11,2021,31741697,284890,17132401,380725,13943681
