provincia,poblacion,total,nuevas,semana,anio
Pichincha,3228233,448,57,25,2020
Santa Elena,401178,318,13,25,2020
Sto. Domingo Tsáchilas,511151,109,14,25,2020
Sucumbíos,230503,14,4,25,2020
Tungurahua,590600,87,6,25,2020
Zamora Chinchipe,120416,13,4,25,2020
Azuay,881394,50,3,26,2020
Bolívar,209933,34,2,26,2020
Carchi,186869,17,1,26,2020
Cañar,281396,45,8,26,2020
Chimborazo,524004,151,11,26,2020
Cotopaxi,488716,116,13,26,2020
El Oro,715751,248,8,26,2020
Esmeraldas,591083,138,9,26,2020
Galápagos,33042,1,0,26,2020
Guayas,4387434,1575,33,26,2020
Imbabura,476257,36,7,26,2020
Loja,521154,44,6,26,2020
Los Ríos,921763,252,1,26,2020
Manabí,1562079,582,22,26,2020
Morona Santiago,196535,10,1,26,2020
Napo,133705,31,1,26,2020
Orellana,161338,18,3,26,2020
Pastaza,114202,21,6,26,2020
Pichincha,3228233,484,36,26,2020
Santa Elena,401178,325,7,26,2020
Sto. Domingo Tsáchilas,511151,117,8,26,2020
Sucumbíos,230503,17,3,26,2020
Tungurahua,590600,101,14,26,2020
Zamora Chinchipe,120416,16,3,26,2020
Azuay,881394,66,16,27,2020
Bolívar,209933,41,7,27,2020
Carchi,186869,18,1,27,2020
Cañar,281396,45,0,27,2020
Chimborazo,524004,160,9,27,2020
Cotopaxi,488716,130,14,27,2020
El Oro,715751,275,27,27,2020
Esmeraldas,591083,145,7,27,2020
Galápagos,33042,1,0,27,2020
Guayas,4387434,1624,49,27,2020
Imbabura,476257,42,6,27,2020
Loja,521154,47,3,27,2020
Los Ríos,921763,274,22,27,2020
Manabí,1562079,639,57,27,2020
Morona Santiago,196535,11,1,27,2020
Napo,133705,37,6,27,2020
Orellana,161338,20,2,27,2020
Pastaza,114202,28,7,27,2020
Pichincha,3228233,549,65,27,2020
Santa Elena,401178,326,1,27,2020
Sto. Domingo Tsáchilas,511151,150,33,27,2020
Sucumbíos,230503,21,4,27,2020
Tungurahua,590600,111,10,27,2020
Zamora Chinchipe,120416,21,5,27,2020
Azuay,881394,69,3,28,2020
Bolívar,209933,43,2,28,2020
Carchi,186869,19,1,28,2020
Cañar,281396,46,1,28,2020
Chimborazo,524004,170,10,28,2020
Cotopaxi,488716,139,9,28,2020
El Oro,715751,305,30,28,2020
Esmeraldas,591083,161,16,28,2020
Galápagos,33042,1,0,28,2020
Guayas,4387434,1637,13,28,2020
Imbabura,476257,47,5,28,2020
Loja,521154,55,8,28,2020
Los Ríos,921763,297,23,28,2020
Manabí,1562079,680,41,28,2020
Morona Santiago,196535,13,2,28,2020
Napo,133705,42,5,28,2020
Orellana,161338,27,7,28,2020
Pastaza,114202,33,5,28,2020
Pichincha,3228233,583,34,28,2020
Santa Elena,401178,327,1,28,2020
Sto. Domingo Tsáchilas,511151,169,19,28,2020
Sucumbíos,230503,25,4,28,2020
Tungurahua,590600,132,21,28,2020
Zamora Chinchipe,120416,27,6,28,2020
Azuay,881394,70,1,29,2020
Bolívar,209933,47,4,29,2020
Carchi,186869,20,1,29,2020
Cañar,281396,48,2,29,2020
Chimborazo,524004,185,15,29,2020
Cotopaxi,488716,152,13,29,2020
El Oro,715751,312,7,29,2020
Esmeraldas,591083,169,8,29,2020
Galápagos,33042,1,0,29,2020
Guayas,4387434,1643,6,29,2020
Imbabura,476257,55,8,29,2020
Loja,521154,59,4,29,2020
Los Ríos,921763,314,17,29,2020
Manabí,1562079,731,51,29,2020
Morona Santiago,196535,13,0,29,2020
Napo,133705,48,6,29,2020
Orellana,161338,30,3,29,2020
Pastaza,114202,36,3,29,2020
Pichincha,3228233,636,53,29,2020
Santa Elena,401178,328,1,29,2020
Sto. Domingo Tsáchilas,511151,206,37,29,2020
Sucumbíos,230503,25,0,29,2020
Tungurahua,590600,157,25,29,2020
Zamora Chinchipe,120416,28,1,29,2020
Azuay,881394,71,1,30,2020
Bolívar,209933,50,3,30,2020
Carchi,186869,20,0,30,2020
Cañar,281396,48,0,30,2020
Chimborazo,524004,203,18,30,2020
Cotopaxi,488716,162,10,30,2020
El Oro,715751,325,13,30,2020
